Region,Year,US_at_current_prices_in_thousands_Value
Africa,2005,20286.0
Africa,2006,22140.0
Africa,2007,28771.0
Africa,2008,26221.0
Africa,2009,30747.0
Africa,2010,51496.0
Africa,2011,58123.0
Africa,2012,51633.0
Africa,2013,88352.0
Africa,2014,76139.0
Africa,2015,57841.0
Africa,2016,49486.0
Africa,2017,54807.0
Africa,2018,46327.0
Africa,2019,41343.0
Africa,2020,35555.0
Africa,2021,89015.0
Africa,2022,91281.0
South America,2005,28424.0
South America,2006,43428.0
South America,2007,54975.0
South America,2008,63182.0
South America,2009,36835.0
South America,2010,53411.0
South America,2011,66341.0
South America,2012,58257.0
South America,2013,54978.0
South America,2014,51563.0
South America,2015,36525.0
South America,2016,24720.0
South America,2017,24425.0
South America,2018,13164.0
South America,2019,11317.0
South America,2020,10574.0
South America,2021,21451.0
South America,2022,21345.0
Asia,2005,1688347.0
Asia,2006,2026869.0
Asia,2007,2374367.0
Asia,2008,2600389.0
Asia,2009,2320360.0
Asia,2010,2838416.0
Asia,2011,3184529.0
Asia,2012,3147324.0
Asia,2013,2833137.0
Asia,2014,2870525.0
Asia,2015,2388827.0
Asia,2016,2279979.0
Asia,2017,1940822.0
Asia,2018,1083388.0
Asia,2019,958404.0
Asia,2020,766362.0
Asia,2021,793298.0
Asia,2022,836385.0
Europe,2005,1202802.0
Europe,2006,1482057.0
Europe,2007,1808643.0
Europe,2008,2092961.0
Europe,2009,1729425.0
Europe,2010,2050619.0
Europe,2011,2522123.0
Europe,2012,2540983.0
Europe,2013,2508749.0
Europe,2014,2585958.0
Europe,2015,2149051.0
Europe,2016,1909839.0
Europe,2017,1820661.0
Europe,2018,1762519.0
Europe,2019,1623050.0
Europe,2020,1347703.0
Europe,2021,1973923.0
Europe,2022,2439479.0
Oceania,2005,37041.0
Oceania,2006,46957.0
Oceania,2007,54588.0
Oceania,2008,66546.0
Oceania,2009,55287.0
Oceania,2010,75474.0
Oceania,2011,96063.0
Oceania,2012,95503.0
Oceania,2013,73295.0
Oceania,2014,84768.0
Oceania,2015,72916.0
Oceania,2016,61181.0
Oceania,2017,45593.0
Oceania,2018,38944.0
Oceania,2019,33869.0
Oceania,2020,25235.0
Oceania,2021,59214.0
Oceania,2022,46740.0
