Rank,Country,Contribution,Voting_power
1.0,Japan,15.571,12.751
1.0,United States,15.571,12.751
3.0,China,6.429,5.437
4.0,India,6.317,5.347
5.0,Australia,5.773,4.913
6.0,Indonesia,5.434,4.641
7.0,Canada,5.219,4.469
8.0,South Korea,5.026,4.315
9.0,Germany,4.316,3.747
10.0,Malaysia,2.717,2.468
11.0,Philippines,2.377,2.196
12.0,France,2.322,2.152
13.0,Pakistan,2.174,2.033
14.0,United Kingdom,2.038,1.924
15.0,Italy,1.803,1.737
16.0,New Zealand,1.532,1.52
17.0,Thailand,1.358,1.381
18.0,Taiwan,1.087,1.164
19.0,Netherlands,1.023,1.113
20.0,Bangladesh,1.019,1.109
,All Remaining Members,10.894,22.832
